place_name,id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,language
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUNIa3M2eGdnRRAB,The temple is beautiful … but how they handle the ticket sales is terrible and feels corrupt. They tell you the tickets for the structure are sold out at the counter but you can buy tickets at double the price from resellers in front of the ticket office… We were lucky because some other group managed to negotiate tickets at the counter and even if they told us many times it was sold out they actually magically had “cancellation” ticket. I think it is very important to change this re-selling scam even more for a temple !!,23 hours ago,2024-09-04 11:32:14.967197,1.0,Meriem Boutaleb,2,https://www.google.com/maps/contrib/113386792441081502462/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUNIeEl1S1dBEAE,A beautiful place...it's well organized...UNESCO protected...if you want to go to the temple...limited number of people...you get fresh bast shoes and a bag for your shoes...I think it's great...it's still supposed to Will be available for interested people to visit in a few years...,2 days ago,2024-09-04 11:32:19.463419,5.0,Andrea x,192,https://www.google.com/maps/contrib/110139628344661706505/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUNIMktESkx3EAE,"The management no longer allow people to see sunrise at Borobudur. As photographer I'm very disappointed. Museum facilities need to improve, charge high fee to foreigner by right all the money should use to upgrade the museum. Sent email to director of culture to get permit to access Borobudur area for photography but the ministry of culture hardly reply my email totally unprofessional.",3 days ago,2024-09-04 11:32:19.474975,2.0,Kent Tee,13,https://www.google.com/maps/contrib/106131933464705624451/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUNIc05LalJnEAE,"Greatest Buddhist temple in history, Too bad they limited the number visitors who could climb the peak of the temple",3 days ago,2024-09-04 11:32:19.477218,5.0,Erwin Pramana Putra,11,https://www.google.com/maps/contrib/113667779166893587165/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUNIZ01YSHVRRRAB,"Expensive, have to order in advance to go up",4 days ago,2024-09-04 11:32:24.193648,5.0,Chris Prabawa,26,https://www.google.com/maps/contrib/115257815319728628741/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3ejZxSjR3RRAB,Haven't come here yet. But I intend that in this life there must be an opportunity to come and worship here.,5 days ago,2024-09-04 11:32:29.071177,5.0,Anantapong Ngancharoenkul,521,https://www.google.com/maps/contrib/115859892442299459982/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3MThxT2h3RRAB,"The temple is fine. There are quite a few stones.  After parking in the brother-in-law's parking lot at the door, upon payment you enter the temple and the tour lasts one hour. The toilet is very far away, if you go you can't come back. You have to hold your pee. At the end of the tour they make you go through 1936462 million stalls that have the same thing to buy gadgets or eat a standard nasi goreng. It takes you 20 minutes to get out and you realize when you get to the street that they have taken you out from the other corner and you have to walk another 15 minutes to get to your sad motorcycle.",5 days ago,2024-09-04 11:32:29.071177,4.0,mari cer,30,https://www.google.com/maps/contrib/106137055341988546184/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3bDdyVmJnEAE,"Well organized. Nice guides. Due to the visitor restrictions, it is advisable to get your tickets in advance. After the exit there is unfortunately an unpleasant gauntlet of running through an endless corridor of the same souvenir stalls. The best thing to do is to take a shortcut across the meadow and avoid this horrible journey.",5 days ago,2024-09-04 11:32:29.087177,5.0,Monaco Ehl,995,https://www.google.com/maps/contrib/110656915452392743465/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3aDVLQ013EAE,"There's 2 tickets, one for the garden and one for the temple. And we need to book 1 week in advance for the temple. We can still appreciate the temple walls from the outside and, history and archaeology enthousiasts will find an interesting museum. It's not possible to visit the temple for sunrise anymore... there's a spot on a nearby hill, but not really impressive ( comparing to other sunrise spot in java)",5 days ago,2024-09-04 11:32:33.802633,5.0,Mouna Bendaoud,6,https://www.google.com/maps/contrib/113758487926603395804/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3cTZ5V293RRAB,"Clearly not up to par, we only see part of the monument which has been very degraded in recent years. I will especially remember the endless detour in the souvenir stands",6 days ago,2024-09-04 11:32:33.805644,1.0,Léo CARTIER,39,https://www.google.com/maps/contrib/116137780415815477935/reviews?hl=en,NULL,en
